,"""Bestätigte Fälle""","""Tägliche Zahl der Neuinfektionen""",Datum
Bad Wünnenberg,523,0,07_08_2021
Paderborn,5119,2,07_08_2021
(gesamter Kreis),10605,7,07_08_2021
(nicht zuordnebar),0,0,07_09_2021
(gesamter Kreis),10605,0,07_09_2021
Altenbeken,375,0,07_09_2021
Salzkotten,741,0,07_09_2021
Lichtenau,257,0,07_09_2021
Paderborn,5119,0,07_09_2021
Borchen,433,0,07_09_2021
Hövelhof,649,0,07_09_2021
Bad Wünnenberg,523,0,07_09_2021
Delbrück,1268,0,07_09_2021
Bad Lippspringe,660,0,07_09_2021
Büren,580,0,07_09_2021
