place,code
"Werdau","08412"
"Freiberg","09599"
"Bad Muskau","02953"
"Jahnsdorf/Erzgebirge","09387"
"Bockelwitz","04703"
"Niederfrohna","09243"
"Langenhessen","08439"
"Niesky","02906"
"Haselbachtal","01920 01936"
"Hohwald","01844"
"Heidersdorf","09526"
"Weixdorf","01108"
"Reinhardtsdorf-Schona","01814"
"Zwochau","04509"
"Oybin","02797"
"Hahnichen","02923"
"Burkhardtsdorf","09235"
"Kirnitzschtal","01855"
"Klitten","02906"
"Grosruckerswalde","09518"
"Dorfchemnitz Bei Sayda","09619"
"Grunhainichen","09579"
"Markneukirchen","08258"
"Pirna","01796"
"Goda","02633"
"Triebischtal","01665"
"Eilenburg","04838"
"Torgau","04860"
"Konigshain","02829"
"Losnitz","08294"
"Oppach","02736"
"Langenweisbach","08134"
"Siebenlehn","09634"
"Wachau","01454"
"Grosenhain","01558"
"Zabeltitz","01561"
"Morgenrothe-Rautenkranz","08262"
"Zschepplin","04838"
"Hohburg","04808"
"Bad Schandau","01814"
"Neukirchen/Erzgebirge","09221"
"Rohrsdorf","09247"
"Barenstein","01768 09471"
"Taucha","04425"
"Hohenstein-Ernstthal","09337"
"Glashutte","01768"
"Kubschutz","02627"
"Olbersdorf","02785"
"Bennewitz","04828"
"Reichenbach/Oberlausitz","02894"
"Wilschdorf","01109"
"Leutersdorf","02794"
"Bornichen/Erzgebirge","09437"
"Frankenstein","09569"
"Nunchritz","01612"
"Scharfenstein","09435"
"Radibor","02627"
"Pausa","07952"
"Adorf","08626"
"Jesewitz","04838"
"Gros Duben","02959"
"Muglitztal","01809"
"Pockau","09509"
"Kohren-Sahlis","04655"
"Friedersdorf","02742"
"Coswig","01640"
"Oberlichtenau","01936"
"Zschopau","09405"
"Crinitzberg","08147"
"Nerchau","04685"
"Beiersdorf","02736"
"Remse","08373"
"Zittau","02763"
"Durrrohrsdorf-Dittersbach","01833"
"Triebel/Vogtland","08606"
"Tiefenbach","09661"
"Radeberg","01454"
"Sohland An Der Spree","02689"
"Mehltheuer","08539"
"Kreischa","01731"
"Schopstal","02829"
"Lobnitz","04509"
"Stadt Wehlen","01829"
"Lichtenau","09244"
"Hoyerswerda","02977"
"Callenberg","09337"
"Roderaue","01619"
"Klipphausen","01665"
"Zeithain","01619"
"Ralbitz-Rosenthal","01920"
"Amtsberg","09439"
"Gohrisch","01824"
"Markersdorf","02829"
"Rotha","04571"
"Schmiedeberg","01762"
"Ehrenfriedersdorf","09427"
"Neumark","08496"
"Dresden Innere Altstadt","01067"
"Dresden Gompitz, Roitzsch","01156"
"Mulsen Ortmannsdorf, Neuschonburg","08132"
"Spreetal","02979"
"Langenweisbach Grunau","08134"
"Thum","09419"
"Moritzburg","01468"
"Rabenau","01734"
"Doberschutz","04838"
"Falkenau","09569"
"Grunbach","08223"
"Altmittweida","09648"
"Oelsnitz","08606"
"Bertsdorf-Hornitz","02763"
"Zschadras","04680"
"Zwickau","08056 08058 08060 08062 08064 08066"
"Dobeln","04720"
"Aue","08280"
"Elsterberg","07985"
"Diesbar-Seuslitz","01612"
"Dresden Gompitz, Unkersdorf","01156"
"Bosenbrunn","08606"
"Erlabrunn","08349"
"Oschatz","04758"
"Eibau","02739"
"Guttau","02694"
"Lampertswalde","01561"
"Kitzscher","04567"
"Markersbach","08352"
"Lichtenberg/Erzgebirge","09638"
"Zschaitz-Ottewig","04720"
"Frauenstein","09623"
"Neukirch/Lausitz","01904"
"Nossen","01683"
"Berthelsdorf","02747"
"Taubenheim","01665"
"Neusalza-Spremberg","02742"
"Elstra","01920"
"Muhlental","08606"
"Bockau","08324"
"Uhyst","02999"
"Frankenthal","01909"
"Lunzenau","09328"
"Durrhennersdorf","02708"
"Sankt Egidien","09356"
"Geringswalde","09326"
"Hartmannsdorf-Reichenau","01762"
"Hartmannsdorf Bei Kirchberg","08107"
"Liebschutzberg","04758"
"Oberwiera","08396"
"Rackelwitz","01920"
"Neukirchen/Pleise","08459"
"Konigsbruck","01936"
"Weisenborn/Erzgebirge","09600"
"Deutzen","04574"
"Machern","04827"
"Groitzsch","04539"
"Crostwitz","01920"
"Crostau","02681"
"Markranstadt","04420"
"Niederwiesa","09577"
"Pohla","08352"
"Elterlein","09481"
"Bernsbach","08315"
"Obercunnersdorf","02708"
"Thalheim / Erzgebirge","09380"
"Schlema","08301"
"Fraureuth","08427"
"Bernsdorf","02994 09337"
"Crimmitschau","08451"
"Oberwiesenthal","09484"
"Marsdorf","01108"
"Dresden Gompitz, Zollmen","01156"
"Dresden Friedrichstadt","01067"
"Glauchau","08371"
"Wilsdruff","01723"
"Trebendorf","02959"
"Stollberg/Erzgebirge","09366"
"Grosschonau","02779"
"Elstertrebnitz","04523"
"Wulknitz","01609"
"Hirschfeld","08107 08144"
"Dresden Gompitz, Steinbach","01156"
"Geyer","09468"
"Mildenau","09456"
"Cunewalde","02733"
"Schlegel","02788"
"Regis-Breitingen","04565"
"Striegistal","09661"
"Scheibenberg","09481"
"Hartha","04746"
"Konigswartha","02699"
"Bad Elster","08645"
"Zwota","08267"
"Wurzen","04808"
"Olbernhau","09526"
"Reinsberg","09629"
"Sehmatal","09465"
"Hainichen","09661"
"Schoneck/Vogtland","08261"
"Venusberg","09430"
"Erlbach-Kirchberg","09385"
"Puschwitz","02699"
"Ebersbach","01561 04720"
"Niederau","01689"
"Bohlen","04564"
"Dresden Striesen","01277"
"Lugau/Erzgebirge","09385"
"Cavertitz","04758"
"Mochau","04720"
"Johanngeorgenstadt","08349"
"Lausnitz","01936"
"Mulsen Mulsen Sankt Niclas","08132"
"Schonfeld","01561"
"Schirgiswalde","02681"
"Trebsen/Mulde","04687"
"Bobritzsch","09627"
"Kirschau","02681"
"Taura","09249"
"Grospostwitz/Oberlausitz","02692"
"Ostrau","04749"
"Auerbach","09392"
"Wildenfels Wildenfels","08134"
"Steinberg","08237"
"Hirschfelde Dittelsdorf","02788"
"Krauschwitz","02957"
"Halsbrucke","09633"
"Carlsfeld, Erzgebirge","08325"
"Dresden Gompitz, Ockerwitz","01156"
"Grosharthau","01909"
"Mittweida","09648"
"Dohma","01796"
"Kitzen","04460"
"Groditz","01609"
"Langenweisbach Weisbach","08134"
"Rossau","09661"
"Gersdorf","04703 09355"
"Einsiedel Bei Chemnitz","09227"
"Meisen","01662"
"Dorfhain","01738"
"Kamenz","01917"
"Wiedemar","04509"
"Mockrehna","04838 04862"
"Lawalde","02708"
"Waldenburg","08396"
"Dobernitz","04509"
"Liebstadt","01825"
"Falkenstein/Vogtland","08223"
"Falkenhain","04808"
"Theuma","08541"
"Oederan","09569"
