,last7,last14,mix,Gemeinde
Niederkrüchten,13,33,13.0,Niederkrüchten
Schwalmtal,1,11,1.0,Schwalmtal
Tönisvorst,17,30,17.0,Tönisvorst
Viersen,77,120,77.0,Viersen
Willich,52,88,52.0,Willich
Bad Berleburg,24,36,24.0,Bad Berleburg
Bad Laasphe,5,17,5.0,Bad Laasphe
Burbach,15,28,15.0,Burbach
Erndtebrück,1,7,1.0,Erndtebrück
Freudenberg,18,30,18.0,Freudenberg
Hilchenbach,12,27,12.0,Hilchenbach
Kreuztal,26,74,26.0,Kreuztal
Netphen,30,56,30.0,Netphen
Neunkirchen,7,12,7.0,Neunkirchen
Siegen,100,203,100.0,Siegen
Wilnsdorf,7,23,7.0,Wilnsdorf
Anröchte,10,21,10.0,Anröchte
Lippetal,16,22,16.0,Lippetal
Möhnesee,19,29,19.0,Möhnesee
Geseke,34,54,34.0,Geseke
Werl,22,34,22.0,Werl
Warstein,25,60,25.0,Warstein
Ense,2,10,2.0,Ense
Rüthen,11,18,11.0,Rüthen
Lippstadt,42,103,42.0,Lippstadt
Bad Sassendorf,11,14,11.0,Bad Sassendorf
Welver,3,4,3.0,Welver
Wickede (Ruhr),17,22,17.0,Wickede (Ruhr)
Soest,23,71,23.0,Soest
Erwitte,11,20,11.0,Erwitte
Bergkamen,32,49,32.0,Bergkamen
Bönen,8,26,8.0,Bönen
Fröndenberg/Ruhr,9,20,9.0,Fröndenberg/Ruhr
Holzwickede,7,24,7.0,Holzwickede
Kamen,14,30,14.0,Kamen
Lünen,79,126,79.0,Lünen
Schwerte,42,69,42.0,Schwerte
Selm,20,34,20.0,Selm
Unna,27,61,27.0,Unna
Werne,13,32,13.0,Werne
Arnsberg,53,88,53.0,Arnsberg
Bestwig,0,4,0.6,Bestwig
Brilon,18,26,18.0,Brilon
Eslohe (Sauerland),7,8,7.0,Eslohe (Sauerland)
Hallenberg,2,6,2.0,Hallenberg
Marsberg,31,81,31.0,Marsberg
Medebach,13,14,13.0,Medebach
Meschede,17,25,17.0,Meschede
Olsberg,6,15,6.0,Olsberg
Schmallenberg,9,22,9.0,Schmallenberg
Sundern (Sauerland),15,21,15.0,Sundern (Sauerland)
Winterberg,10,11,10.0,Winterberg
