,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
47,Neukirch/Lausitz,28,6.0,4.8469999999999995,0,Bautzen,5,5
48,Obergurig,28,2.0,2.07,0,Bautzen,0,0
49,Ohorn,28,2.0,2.454,0,Bautzen,0,0
50,Oßling,28,2.0,2.26,0,Bautzen,0,0
51,Radibor,28,6.0,3.1189999999999998,0,Bautzen,1,1
52,Ralbitz-Rosenthal,28,2.0,1.702,0,Bautzen,0,0
53,Schwepnitz,28,2.0,2.478,0,Bautzen,0,0
54,Steina,28,2.0,1.6269999999999998,0,Bautzen,0,0
55,Wachau,28,6.0,4.273,0,Bautzen,1,1
56,Wittichenau,28,6.0,5.729,0,Bautzen,2,2
57,Sehmatal,1,220.0,6.377999999999999,3449,Erzgebirgskreis,10,32
58,Niederwürschnitz,2,80.0,2.5789999999999997,3102,Erzgebirgskreis,2,10
59,Grünhain-Beierfeld,3,180.0,5.851,3076,Erzgebirgskreis,7,25
60,Burkhardtsdorf,4,170.0,6.117999999999999,2779,Erzgebirgskreis,5,22
61,Tannenberg,5,30.0,1.101,2725,Erzgebirgskreis,2,5
62,Gornsdorf,6,50.0,1.911,2616,Erzgebirgskreis,2,7
63,Königswalde,7,50.0,2.22,2252,Erzgebirgskreis,4,9
64,Hohndorf,8,70.0,3.486,2008,Erzgebirgskreis,4,11
65,Jöhstadt,9,50.0,2.62,1908,Erzgebirgskreis,6,11
66,Geyer,10,60.0,3.403,1763,Erzgebirgskreis,4,10
67,Ehrenfriedersdorf,11,80.0,4.68,1709,Erzgebirgskreis,0,8
68,Breitenbrunn/Erzgeb.,12,80.0,5.204,1537,Erzgebirgskreis,0,8
69,Annaberg-Buchholz,13,300.0,19.619,1529,Erzgebirgskreis,24,54
70,Großolbersdorf,14,40.0,2.7960000000000003,1431,Erzgebirgskreis,3,7
71,Seiffen/Erzgeb.,15,30.0,2.0980000000000003,143,Erzgebirgskreis,3,6
72,Amtsberg,16,50.0,3.6889999999999996,1355,Erzgebirgskreis,1,6
73,Lößnitz,17,110.0,8.201,1341,Erzgebirgskreis,11,22
74,Eibenstock,18,90.0,7.261,1239,Erzgebirgskreis,7,16
75,Neukirchen/Erzgeb.,19,80.0,6.907,1158,Erzgebirgskreis,7,15
76,Zschorlau,20,60.0,5.235,1146,Erzgebirgskreis,2,8
77,Schneeberg,21,150.0,13.873,1081,Erzgebirgskreis,16,31
78,Gornau/Erzgeb.,22,40.0,3.767,1062,Erzgebirgskreis,0,4
79,Wolkenstein,23,40.0,3.8989999999999996,1026,Erzgebirgskreis,2,6
80,Deutschneudorf,24,10.0,990.0,101,Erzgebirgskreis,0,1
81,Zschopau,25,90.0,9.17,981,Erzgebirgskreis,8,17
82,Gelenau/Erzgeb.,26,40.0,4.133,968,Erzgebirgskreis,4,8
83,Stützengrün,27,30.0,3.1460000000000004,954,Erzgebirgskreis,3,6
84,Zwönitz,28,110.0,11.927,922,Erzgebirgskreis,13,24
85,Mildenau,29,30.0,3.3989999999999996,883,Erzgebirgskreis,4,7
86,Bärenstein,30,20.0,2.282,876,Erzgebirgskreis,3,5
87,Auerbach,31,20.0,2.455,815,Erzgebirgskreis,3,5
88,Jahnsdorf/Erzgeb.,32,40.0,5.476,73,Erzgebirgskreis,1,5
89,Elterlein,33,20.0,2.8489999999999998,702,Erzgebirgskreis,0,2
90,Schönheide,34,30.0,4.3660000000000005,687,Erzgebirgskreis,0,3
91,Thalheim/Erzgeb.,35,40.0,5.952000000000001,672,Erzgebirgskreis,2,6
92,Aue-Bad Schlema,36,130.0,20.352999999999998,639,Erzgebirgskreis,5,18
93,Lugau/Erzgeb.,37,50.0,8.005,625,Erzgebirgskreis,7,12
94,Grünhainichen,38,20.0,3.346,598,Erzgebirgskreis,1,3
95,Olbernhau,39,60.0,10.84,554,Erzgebirgskreis,11,17
96,Crottendorf,40,20.0,4.052,494,Erzgebirgskreis,2,4
97,Scheibenberg,41,10.0,2.083,48,Erzgebirgskreis,0,1
