,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
374,Theuma,13,2.0,1.0190000000000001,0,Vogtlandkreis,0,0
375,Tirpersdorf,13,2.0,1.3559999999999999,0,Vogtlandkreis,0,0
376,Treuen,13,6.0,7.784,0,Vogtlandkreis,1,1
377,Triebel/Vogtl.,13,6.0,1.222,0,Vogtlandkreis,1,1
378,Weischlitz,13,2.0,5.806,0,Vogtlandkreis,0,0
379,Werda,13,2.0,1.492,0,Vogtlandkreis,0,0
380,Gersdorf,1,60.0,3.938,1524,Zwickau,2,8
381,St. Egidien,2,40.0,3.2680000000000002,1224,Zwickau,2,6
382,Limbach-Oberfrohna,3,180.0,23.895,753,Zwickau,27,45
383,Fraureuth,4,30.0,5.105,588,Zwickau,6,9
384,Wildenfels,5,20.0,3.552,563,Zwickau,1,3
385,Langenbernsdorf,6,20.0,3.597,556,Zwickau,1,3
386,Lichtenstein/Sa.,7,60.0,11.177,537,Zwickau,15,21
387,Oberlungwitz,8,30.0,5.864,512,Zwickau,10,13
388,Waldenburg,9,20.0,4.058,493,Zwickau,7,9
389,Niederfrohna,10,10.0,2.2359999999999998,447,Zwickau,3,4
390,Hohenstein-Ernstthal,11,60.0,14.527000000000001,413,Zwickau,11,17
391,Callenberg,12,20.0,4.928,406,Zwickau,5,7
392,Reinsdorf,13,30.0,7.398,406,Zwickau,4,7
393,Werdau,14,80.0,20.623,388,Zwickau,8,16
394,Meerane,15,50.0,14.001,357,Zwickau,8,13
395,Zwickau,16,270.0,88.69,304,Zwickau,39,66
396,Mülsen,17,30.0,11.057,271,Zwickau,6,9
397,Kirchberg,18,20.0,8.179,245,Zwickau,3,5
398,Crimmitschau,19,40.0,18.35,218,Zwickau,7,11
399,Lichtentanne,20,10.0,6.329,158,Zwickau,1,2
400,Bernsdorf - Zwickau,21,6.0,2.208,0,Zwickau,2,2
401,Crinitzberg,21,6.0,1.874,0,Zwickau,2,2
402,Dennheritz,21,2.0,1.295,0,Zwickau,0,0
403,Glauchau,21,6.0,22.233,0,Zwickau,7,7
404,Hartenstein,21,6.0,4.54,0,Zwickau,3,3
405,Hartmannsdorf b. Kirchberg,21,2.0,1.3730000000000002,0,Zwickau,0,0
406,Hirschfeld,21,2.0,1.162,0,Zwickau,0,0
407,Langenweißbach,21,2.0,2.4730000000000003,0,Zwickau,0,0
408,Neukirchen/Pleiße,21,2.0,3.872,0,Zwickau,0,0
409,Oberwiera,21,2.0,1.02,0,Zwickau,0,0
410,Remse,21,2.0,1.625,0,Zwickau,0,0
411,Schönberg,21,2.0,899.0,0,Zwickau,0,0
412,Wilkau-Haßlau,21,6.0,9.656,0,Zwickau,4,4
413,Nünchritz,5,40.0,7.725,518,Meißen,4,8
414,Röderaue,8,20.0,4.341,461,Meißen,2,4
415,Schönfeld,20,6.0,4.417,0,Meißen,4,4
416,Dresden,0,1330.0,556780.0,0,Landeshauptstadt Dresden,190,323
417,Leipzig,0,1030.0,593145.0,0,Stadt Leipzig,143,246
418,Chemnitz,0,620.0,246334.0,0,Stadt Chemnitz,82,144
