,Gemeinde,Neuzugänge letzten 7 Tage_x,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
368,Grünbach,3,1,4
369,Muldenhammer,5,3,8
370,Pausa-Mühltroff,7,5,12
371,Bergen,1,1,2
372,Neumark,3,3,6
373,Plauen,61,68,129
374,Bösenbrunn,1,0,1
375,Rosenbach/Vogtl.,3,5,8
376,Weischlitz,4,2,6
377,Heinsdorfergrund,1,5,6
378,Limbach,0,1,1
379,Triebel/Vogtl.,0,1,1
380,Hirschfeld,2,0,2
381,Crinitzberg,3,3,6
382,Hartmannsdorf b. Kirchberg,2,1,3
383,Kirchberg,11,16,27
384,Lichtentanne,8,4,12
385,Schönberg,1,3,4
386,Neukirchen/Pleiße,4,0,4
387,Oberwiera,1,0,1
388,St. Egidien,3,0,3
389,Wildenfels,3,2,5
390,Hohenstein-Ernstthal,12,8,20
391,Werdau,17,10,27
392,Zwickau,73,69,142
393,Fraureuth,4,4,8
394,Dennheritz,1,1,2
395,Oberlungwitz,4,0,4
396,Limbach-Oberfrohna,16,18,34
397,Mülsen,7,2,9
398,Wilkau-Haßlau,5,3,8
399,Niederfrohna,1,1,2
400,Crimmitschau,8,8,16
401,Meerane,6,6,12
402,Langenweißbach,1,0,1
403,Glauchau,8,6,14
404,Lichtenstein/Sa.,3,5,8
405,Waldenburg,1,5,6
406,Hartenstein,1,4,5
407,Reinsdorf,1,3,4
408,Bernsdorf,0,2,2
409,Callenberg,0,5,5
410,Gersdorf,0,0,0
411,Langenbernsdorf,0,5,5
412,Remse,0,0,0
413,Nünchritz,6,10,16
414,Röderaue,2,2,4
415,Schönfeld,5,3,8
416,Dresden,328,311,639
417,Leipzig,323,255,578
418,Chemnitz,122,107,229
