Großschweidnitz,1
Olbersdorf,3
Rosenbach,1
"Görlitz, Stadt",31
Lawalde,1
Boxberg/O.L.,2
"Ostritz, Stadt",1
Schöpstal,1
"Zittau, Stadt",9
"Löbau, Stadt",5
"Niesky, Stadt",3
"Bernstadt a. d. Eigen, Stadt",1
Leutersdorf,1
Mittelherwigsdorf,1
Markersdorf,1
"Rothenburg/O.L., Stadt",1
Beiersdorf,0
Bertsdorf-Hörnitz,0
Dürrhennersdorf,0
Hähnichen,0
Hainewalde,0
Horka,0
Königshain,0
Mücka,0
Oybin,0
Quitzdorf am See,0
"Reichenbach/O.L., Stadt",0
Rietschen,0
Schleife,0
Schönau-Berzdorf a. d. Eigen,0
Schönbach,0
Trebendorf,0
Waldhufen,0
Weißkeißel,0
Thallwitz,10
"Kitzscher, Stadt",10
Lossatal,10
Bennewitz,8
"Trebsen/Mulde, Stadt",6
Elstertrebnitz,2
"Markranstädt, Stadt",22
"Wurzen, Stadt",22
"Groitzsch, Stadt",9
"Geithain, Stadt",7
"Pegau, Stadt",6
Borsdorf,6
Otterwisch,1
"Colditz, Stadt",6
"Grimma, Stadt",17
"Borna, Stadt",11
"Markkleeberg, Stadt",14
Großpösna,3
"Naunhof, Stadt",4
"Böhlen, Stadt",3
Machern,3
"Brandis, Stadt",4
"Frohburg, Stadt",5
"Rötha, Stadt",2
"Zwenkau, Stadt",3
Belgershain,1
Neukieritzsch,2
"Regis-Breitingen, Stadt",1
"Bad Lausick, Stadt",0
Parthenstein,0
Thiendorf,10
Käbschütztal,7
"Radeburg, Stadt",18
"Lommatzsch, Stadt",10
"Meißen, Stadt",39
"Großenhain, Stadt",22
"Radebeul, Stadt",28
"Strehla, Stadt",3
"Coswig, Stadt",16
Verwaltungsgemeinschaft Röderaue/Wülknitz,3
Ebersbach (Landkreis Meißen),3
Weinböhla,7
"Riesa, Stadt",19
Diera-Zehren,2
"Gröditz, Stadt",4
Niederau,2
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,2
"Nossen, Stadt",4
Klipphausen,3
Moritzburg,2
Zeithain,1
Hirschstein,0
Verwaltungsgemeinschaft Nünchritz/Glaubitz,0
Priestewitz,0
Stauchitz,0
Neuhausen/Erzgeb.,20
Zettlitz,4
Weißenborn/Erzgeb.,7
"Lunzenau, Stadt",10
"Flöha, Stadt",23
Mulda/Sa.,5
Erlau,6
Großweitzschen,5
"Frankenberg/Sa., Stadt",25
Königsfeld,2
"Geringswalde, Stadt",6
"Penig, Stadt",11
Großhartmannsdorf,3
"Hartha, Stadt",8
Striegistal,5
"Rochlitz, Stadt",6
Bobritzsch-Hilbersdorf,6
"Roßwein, Stadt",7
Rossau,3
"Hainichen, Stadt",7
Zschaitz-Ottewig,1
"Frauenstein, Stadt",2
Lichtenau,5
Reinsberg,2
"Waldheim, Stadt",6
Hartmannsdorf (Landkreis Mittelsachsen),3
Claußnitz,2
Dorfchemnitz,1
"Döbeln, Stadt",15
"Mittweida, Stadt, Hochschulstadt",9
Niederwiesa,3
Seelitz,1
Halsbrücke,3
"Sayda, Stadt",1
Ostrau,2
Rechenberg-Bienenmühle,1
"Brand-Erbisdorf, Stadt",5
Eppendorf,2
"Leisnig, Stadt",4
"Freiberg, Stadt, Universitätsstadt",16
Königshain-Wiederau,1
Lichtenberg/Erzgeb.,1
"Großschirma, Stadt",2
Oberschöna,1
Leubsdorf,1
"Burgstädt, Stadt",3
"Oederan, Stadt",2
"Augustusburg, Stadt",1
Altmittweida,0
Kriebstein,0
Mühlau,0
Taura,0
Wechselburg,0
Mockrehna,16
Rackwitz,14
Laußig,9
Naundorf,5
Doberschütz,6
Dreiheide,3
"Bad Düben, Stadt",11
Krostitz,5
Schönwölkau,3
"Eilenburg, Stadt",17
Zschepplin,3
Liebschützberg,3
Löbnitz,2
"Dommitzsch, Stadt",2
"Delitzsch, Stadt",20
Wermsdorf,4
Beilrode,3
"Belgern-Schildau, Stadt",5
"Torgau, Stadt",12
"Schkeuditz, Stadt",11
Wiedemar,3
"Taucha, Stadt",7
"Oschatz, Stadt",3
Arzberg,0
Cavertitz,0
"Dahlen, Stadt",0
Elsnig,0
Jesewitz,0
"Mügeln, Stadt",0
Trossin,0
Rathmannsdorf,10
Hartmannsdorf-Reichenau,5
"Altenberg, Stadt",25
Dorfhain,3
Dohma,5
"Königstein/Sächs. Schw., Stadt",5
Lohmen,7
Reinhardtsdorf-Schöna,3
"Rabenau, Stadt",10
"Bad Schandau, Stadt",7
Rosenthal-Bielatal,3
"Hohnstein, Stadt",6
"Dohna, Stadt",6
"Heidenau, Stadt",16
"Tharandt, Stadt",5
"Wilsdruff, Stadt",13
"Dippoldiswalde, Stadt",13
"Pirna, Stadt",31
"Liebstadt, Stadt",1
"Glashütte, Stadt",5
Dürrröhrsdorf-Dittersbach,3
"Freital, Stadt",23
"Neustadt in Sachsen, Stadt",7
Gohrisch,1
Müglitztal,1
Bahretal,1
Bannewitz,5
Kreischa,2
"Stolpen, Stadt",2
Klingenberg,2
"Sebnitz, Stadt",2
"Bad Gottleuba-Berggießhübel, Stadt",0
Hermsdorf/Erzgeb.,0
"Rathen, Kurort",0
"Stadt Wehlen, Stadt",0
Struppen,0
"Elsterberg, Stadt",49
Pöhl,21
Bad Brambach,14
"Adorf/Vogtl., Stadt",25
"Treuen, Stadt",35
Tirpersdorf,6
Limbach,6
"Klingenthal, Stadt",34
"Lengenfeld, Stadt",29
Neuensalz,8
Ellefeld,8
"Markneukirchen, Stadt",23
"Bad Elster, Stadt",11
Theuma,3
Muldenhammer,8
"Auerbach/Vogtl., Stadt",48
Steinberg,7
"Rodewisch, Stadt",16
"Falkenstein/Vogtl., Stadt",19
"Netzschkau, Stadt",9
"Reichenbach im Vogtland, Stadt",45
Neustadt/Vogtl.,2
"Oelsnitz/Vogtl., Stadt",20
"Plauen, Stadt",119
"Pausa-Mühltroff, Stadt",9
Bösenbrunn,2
"Schöneck/Vogtl., Stadt",5
Mühlental,2
Heinsdorfergrund,3
Rosenbach/Vogtl.,6
Grünbach,2
Bergen,1
Weischlitz,6
Eichigt,1
Neumark,2
Werda,1
Triebel/Vogtl.,0
Gemeinde,Neuzugänge letzten 7 Tage
Hartmannsdorf b. Kirchberg,5
"Kirchberg, Stadt",22
Schönberg,2
Crinitzberg,4
Langenbernsdorf,7
Gersdorf,5
"Lichtenstein/Sa., Stadt",13
"Hohenstein-Ernstthal, Stadt",16
Oberwiera,1
"Meerane, Stadt",13
"Werdau, Stadt",19
Hirschfeld,1
Mülsen,9
Reinsdorf,6
"Glauchau, Stadt",18
"Zwickau, Stadt",62
Lichtentanne,4
"Wilkau-Haßlau, Stadt",6
St. Egidien,2
Fraureuth,3
"Crimmitschau, Stadt",10
"Oberlungwitz, Stadt",3
"Waldenburg, Stadt",2
Niederfrohna,1
"Hartenstein, Stadt",2
"Limbach-Oberfrohna, Stadt",10
"Wildenfels, Stadt",1
Neukirchen/Pleiße,1
Callenberg,1
Bernsdorf (Landkreis Zwickau),0
Dennheritz,0
Langenweißbach,0
Remse,0
Dresden,327
Leipzig,267
Chemnitz,191
