"Waldenburg, Stadt",15
Mülsen,40
Neukirchen/Pleiße,14
"Hohenstein-Ernstthal, Stadt",48
Langenweißbach,8
Lichtentanne,20
"Werdau, Stadt",64
Oberwiera,3
"Limbach-Oberfrohna, Stadt",67
"Wilkau-Haßlau, Stadt",27
"Crimmitschau, Stadt",51
Fraureuth,14
"Glauchau, Stadt",60
"Zwickau, Stadt",234
Callenberg,13
Hirschfeld,3
"Wildenfels, Stadt",9
St. Egidien,8
Dennheritz,3
Reinsdorf,17
Gersdorf,9
"Lichtenstein/Sa., Stadt",21
Remse,3
"Hartenstein, Stadt",8
"Meerane, Stadt",24
"Oberlungwitz, Stadt",10
Dresden,643
Leipzig,614
Chemnitz,742
